age,mus_female_2021,mus_male_2021,mus_female_perct_2021,mus_male_perct_2021,mus_female_2011,mus_male_2021,mus_female_perct_2011,mus_male_perct_2011,fermale_2021,male_2021,female_perct_2021,male_perct_2021,,
67,6860,7360,0.18,0.19,3360,3104,0.12,0.11,307055,289360,0.52,0.49,,
68,6930,7385,0.18,0.19,3325,3472,0.12,0.13,297970,278125,0.50,0.47,,
69,5925,6175,0.15,0.16,3207,3105,0.12,0.11,292590,272040,0.49,0.46,,
70,5715,5330,0.15,0.14,3434,3684,0.13,0.14,293580,270930,0.49,0.45,,
71,5315,4515,0.14,0.12,3603,3947,0.13,0.15,300620,274215,0.50,0.46,,
72,4605,3685,0.12,0.10,3132,3429,0.12,0.13,305160,278580,0.51,0.47,,
73,4425,3430,0.11,0.09,2906,3397,0.11,0.13,331215,300165,0.56,0.50,,
74,3845,2965,0.10,0.08,2796,3414,0.10,0.13,327900,295615,0.55,0.50,,
75,3670,2750,0.09,0.07,2718,3186,0.10,0.12,248430,221125,0.42,0.37,,
76,3290,2625,0.09,0.07,2441,2615,0.09,0.10,260805,229940,0.44,0.39,,
77,3025,2550,0.08,0.07,2189,2198,0.08,0.08,238570,208180,0.40,0.35,,
78,2905,2745,0.08,0.07,1928,2077,0.07,0.08,222675,190480,0.37,0.32,,
79,2735,2375,0.07,0.06,1571,1835,0.06,0.07,190890,159180,0.32,0.27,,
80,2870,2620,0.07,0.07,1593,1703,0.06,0.06,179780,146845,0.30,0.25,,
81,2900,2635,0.07,0.07,1442,1443,0.05,0.05,182270,146400,0.31,0.25,,
82,2400,2310,0.06,0.06,1006,1001,0.04,0.04,173805,136735,0.29,0.23,,
83,2080,2090,0.05,0.05,874,854,0.03,0.03,162240,124810,0.27,0.21,,
84,1935,1995,0.05,0.05,636,804,0.02,0.03,149945,112245,0.25,0.19,,
85,1765,1695,0.05,0.04,610,582,0.02,0.02,136120,97915,0.23,0.16,,
86,1575,1385,0.04,0.04,509,460,0.02,0.02,122305,85815,0.21,0.14,,
87,1310,1095,0.03,0.03,373,351,0.01,0.01,108355,72740,0.18,0.12,,
88,1110,950,0.03,0.02,280,298,0.01,0.01,98355,63090,0.17,0.11,,
89,785,750,0.02,0.02,193,268,0.01,0.01,87375,53275,0.15,0.09,,
90,815,585,0.02,0.02,217,196,0.01,0.01,77955,44235,0.13,0.07,,
91,670,475,0.02,0.01,169,153,0.01,0.01,64570,34395,0.11,0.06,,
92,355,285,0.01,0.01,105,87,0.00,0.00,52800,26565,0.09,0.04,,
93,315,220,0.01,0.01,98,55,0.00,0.00,41935,19730,0.07,0.03,,
94,225,145,0.01,0.00,62,41,0.00,0.00,33490,14930,0.06,0.03,,
95,160,100,0.00,0.00,59,42,0.00,0.00,25680,10475,0.04,0.02,,
96,130,80,0.00,0.00,48,27,0.00,0.00,19650,7120,0.03,0.01,,
97,80,45,0.00,0.00,33,22,0.00,0.00,14235,4755,0.02,0.01,,
98,40,35,0.00,0.00,28,14,0.00,0.00,10280,3195,0.02,0.01,,"1,296,776.00"
99,45,25,0.00,0.00,21,18,0.00,0.00,7480,2125,0.01,0.00,,"1,960,750.00"
100 and over,105,50,0.00,0.00,71,23,0.00,0.00,11290,2635,0.02,0.00,,"29,177,295.00"
